Date,Open Time,Close Time,Trade Duration,Description,Amount,Opening,Closing,Points,P/L,Daily P/L,Balance
2024-08-15,16:31:11,16:38:56,00:07:45,US 2000,20.00,2131.57,2130.20,-1.40,-27.40,-27.40,513.79
2024-08-15,16:33:44,16:38:56,00:05:12,US 2000,10.00,2131.08,2130.19,-0.90,-8.90,-36.30,504.89
2024-08-15,16:41:18,16:43:05,00:01:47,Wall Street 30,1.00,40465.60,40433.50,-32.10,-32.10,-68.40,454.79
2024-08-15,16:42:15,16:43:03,00:00:48,Wall Street 30,1.00,40455.80,40437.80,-18.00,-18.00,-86.40,486.89
2024-08-15,16:43:25,16:44:48,00:01:23,US Tech 100,4.00,19267.40,19271.00,3.60,14.40,-72.00,469.19
2024-08-15,16:46:12,16:46:53,00:00:41,US 2000,-5.00,2127.98,2125.51,-2.50,12.35,-59.65,481.54
2024-08-15,16:46:12,16:47:22,00:01:10,US 2000,-5.00,2127.98,2124.03,-3.90,19.75,-39.90,501.29
2024-08-15,16:46:12,16:48:57,00:02:45,US 2000,-2.00,2127.98,2124.88,-3.10,6.20,-33.70,507.49
2024-08-15,16:46:12,16:51:24,00:05:12,US 2000,-2.00,2127.98,2126.29,-1.70,3.38,-30.32,510.87
2024-08-15,16:46:12,16:56:09,00:09:57,US 2000,-2.00,2127.98,2118.88,-9.10,18.20,-12.12,529.07
2024-08-15,16:46:12,16:56:30,00:10:18,US 2000,-2.00,2127.98,2119.04,-8.90,17.88,5.76,546.95
2024-08-15,16:46:12,16:57:09,00:10:57,US 2000,-2.00,2127.98,2119.05,-8.90,17.86,23.62,564.81
2024-08-15,16:52:43,17:07:03,00:14:20,US 2000,-4.00,2125.02,2116.60,-8.40,33.68,57.30,598.49
2024-08-15,16:52:43,17:07:14,00:14:31,US 2000,-4.00,2125.02,2116.31,-8.70,34.84,92.14,633.33
2024-08-15,17:00:48,17:13:23,00:12:35,US 2000,-8.00,2121.55,2121.15,-0.40,3.20,95.34,623.73
2024-08-15,17:12:21,17:13:21,00:01:00,US 2000,-8.00,2119.44,2121.04,1.60,-12.80,82.54,620.53
2024-08-15,17:13:41,17:23:21,00:09:40,US Tech 100,2.00,19351.40,19352.10,0.70,1.40,83.94,660.23
2024-08-15,17:13:41,17:26:19,00:12:38,US Tech 100,1.00,19351.40,19372.60,21.20,21.20,105.14,681.43
2024-08-15,17:13:41,17:30:12,00:16:31,US Tech 100,1.00,19351.40,19372.60,21.20,21.20,126.34,702.63
2024-08-15,17:18:29,17:22:10,00:03:41,US Tech 100,1.00,19336.70,19371.80,35.10,35.10,161.44,658.83
2024-08-15,17:35:38,17:37:51,00:02:13,US Tech 100,1.00,19388.20,19395.10,6.90,6.90,168.34,709.53
2024-08-15,17:35:38,17:37:59,00:02:21,US Tech 100,1.00,19388.20,19393.30,5.10,5.10,173.44,714.63
2024-08-15,17:35:38,17:40:58,00:05:20,US Tech 100,1.00,19388.20,19404.30,16.10,16.10,189.54,730.73
2024-08-15,17:38:31,17:43:45,00:05:14,US Tech 100,1.00,19392.50,19402.80,10.30,10.30,199.84,741.03
2024-08-15,17:38:31,17:46:39,00:08:08,US Tech 100,1.00,19392.50,19407.70,15.20,15.20,215.04,757.83
2024-08-15,17:38:31,17:46:48,00:08:17,US Tech 100,1.00,19392.50,19404.60,12.10,12.10,227.14,769.93
2024-08-15,17:38:31,17:48:02,00:09:31,US Tech 100,1.00,19392.50,19411.70,19.20,19.20,246.34,789.13
2024-08-15,17:38:31,17:49:18,00:10:47,US Tech 100,1.00,19392.50,19398.80,6.30,6.30,252.64,795.43
2024-08-15,17:44:17,17:44:39,00:00:22,US Tech 100,-1.00,19405.10,19403.50,-1.60,1.60,254.24,742.63
